otter_id,age1,age2,age_diff,age_class1,age_class2,certainty_code1,certainty_code2,tooth_category1,tooth_category2,age_agreement,age_class_agreement,certainty_code_combo,tooth_category_combo,certainty_category,year,area
SOD-2022-71,13,8,5,3,2,A,B,C,I,0,0,AB,CI,Low,2022,KATM
SOD-2022-71,13,13,0,3,3,A,A,C,P,1,1,AA,PC,High,2022,KATM
SOD-2022-71,10,8,2,3,2,A,B,M,I,0,0,AB,MI,High,2022,KATM
SOD-2022-71,10,13,3,3,3,A,A,M,P,0,1,AA,MP,Low,2022,KATM
SOD-2022-71,8,13,5,2,3,B,A,I,P,0,0,AB,PI,Low,2022,KATM
SOD-2022-73,7,6,1,2,2,B,A,C,I,0,1,AB,CI,High,2022,KATM
SOD-2022-73,7,10,3,2,3,B,A,C,M,0,0,AB,MC,Low,2022,KATM
SOD-2022-73,7,7,0,2,2,B,A,C,P,1,1,AB,PC,High,2022,KATM
SOD-2022-73,6,10,4,2,3,A,A,I,M,0,0,AA,MI,Low,2022,KATM
SOD-2022-73,6,7,1,2,2,A,A,I,P,0,1,AA,PI,High,2022,KATM
SOD-2022-73,10,7,3,3,2,A,A,M,P,0,0,AA,MP,Low,2022,KATM
SOD-2022-74,9,10,1,3,3,A,A,M,C,0,1,AA,MC,High,2022,KATM
SOD-2022-74,9,9,0,3,3,A,A,M,P,1,1,AA,MP,High,2022,KATM
SOD-2022-74,10,9,1,3,3,A,A,C,P,0,1,AA,PC,High,2022,KATM
SOD-2022-81,1,1,0,1,1,B,A,M,I,1,1,AB,MI,High,2022,KATM
SOD-2022-81,1,1,0,1,1,B,A,M,C,1,1,AB,MC,High,2022,KATM
SOD-2022-81,1,1,0,1,1,B,A,M,P,1,1,AB,MP,High,2022,KATM
SOD-2022-81,1,1,0,1,1,A,A,I,C,1,1,AA,CI,High,2022,KATM
SOD-2022-81,1,1,0,1,1,A,A,I,P,1,1,AA,PI,High,2022,KATM
SOD-2022-81,1,1,0,1,1,A,A,C,P,1,1,AA,PC,High,2022,KATM
SOD-2022-84,12,11,1,3,3,A,B,C,M,0,1,AB,MC,High,2022,KATM
SOD-2022-84,12,9,3,3,3,A,A,C,I,0,1,AA,CI,Low,2022,KATM
SOD-2022-84,12,11,1,3,3,A,A,C,P,0,1,AA,PC,High,2022,KATM
SOD-2022-84,11,9,2,3,3,B,A,M,I,0,1,AB,MI,High,2022,KATM
SOD-2022-84,11,11,0,3,3,B,A,M,P,1,1,AB,MP,High,2022,KATM
SOD-2022-84,9,11,2,3,3,A,A,I,P,0,1,AA,PI,High,2022,KATM
SOD-2022-85,4,2,2,2,2,A,A,M,C,0,1,AA,MC,High,2022,KATM
SOD-2022-85,4,2,2,2,2,A,B,M,I,0,1,AB,MI,High,2022,KATM
SOD-2022-85,4,1,3,2,1,A,B,M,P,0,0,AB,MP,Low,2022,KATM
SOD-2022-85,2,2,0,2,2,A,B,C,I,1,1,AB,CI,High,2022,KATM
SOD-2022-85,2,1,1,2,1,A,B,C,P,0,0,AB,PC,High,2022,KATM
SOD-2022-85,2,1,1,2,1,B,B,I,P,0,0,BB,PI,High,2022,KATM
SOD-2022-99,8,6,2,2,2,A,B,C,M,0,1,AB,MC,High,2022,KATM
SOD-2022-99,8,7,1,2,2,A,B,C,I,0,1,AB,CI,High,2022,KATM
SOD-2022-99,8,7,1,2,2,A,B,C,P,0,1,AB,PC,High,2022,KATM
SOD-2022-99,6,7,1,2,2,B,B,M,I,0,1,BB,MI,High,2022,KATM
SOD-2022-99,6,7,1,2,2,B,B,M,P,0,1,BB,MP,High,2022,KATM
SOD-2022-99,7,7,0,2,2,B,B,I,P,1,1,BB,PI,High,2022,KATM
